Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
Captains Patrol,26/9/26,08:45,26/9/26,12:30,FALSE,Patrol Captains Briefing
Patrol 1,27/9/26,12:30,27/9/26,16:00,FALSE,Patrol 1
Patrol 1,8/11/26,08:45,8/11/26,13:00,FALSE,Patrol 1
Patrol 1,26/12/26,13:30,26/12/26,18:00,FALSE,Patrol 1
Patrol 1,31/1/27,08:45,31/1/27,13:30,FALSE,Patrol 1
Patrol 1,27/3/27,13:00,27/3/27,17:00,FALSE,Patrol 1
Patrol 1,26/4/27,08:45,26/4/27,12:30,FALSE,Patrol 1
Patrol 2,3/10/26,12:30,3/10/26,16:00,FALSE,Patrol 2
Patrol 2,14/11/26,08:45,14/11/26,13:00,FALSE,Patrol 2
Patrol 2,27/12/26,13:30,27/12/26,18:00,FALSE,Patrol 2
Patrol 2,6/2/27,08:45,6/2/27,13:00,FALSE,Patrol 2
Patrol 2,26/3/27,13:00,26/3/27,17:00,FALSE,Patrol 2
Patrol 2,26/4/27,12:30,26/4/27,16:00,FALSE,Patrol 2
Patrol 3,4/10/26,12:30,4/10/26,16:00,FALSE,Patrol 3
Patrol 3,28/11/26,08:45,28/11/26,13:00,FALSE,Patrol 3
Patrol 3,1/1/27,13:30,1/1/27,18:00,FALSE,Patrol 3
Patrol 3,7/2/27,08:45,7/2/27,13:00,FALSE,Patrol 3
Patrol 3,21/3/27,13:00,21/3/27,17:00,FALSE,Patrol 3
Patrol 4,5/10/26,12:30,5/10/26,16:00,FALSE,Patrol 4
Patrol 4,21/11/26,08:45,21/11/26,13:00,FALSE,Patrol 4
Patrol 4,2/1/27,13:30,2/1/27,18:00,FALSE,Patrol 4
Patrol 4,13/2/27,08:45,13/2/27,13:00,FALSE,Patrol 4
Patrol 4,28/3/27,13:00,28/3/27,17:00,FALSE,Patrol 4
Patrol 5,10/10/26,12:30,10/10/26,16:00,FALSE,Patrol 5
Patrol 5,22/11/26,08:45,22/11/26,13:00,FALSE,Patrol 5
Patrol 5,3/1/27,13:30,3/1/27,18:00,FALSE,Patrol 5
Patrol 5,14/2/27,08:45,14/2/27,13:00,FALSE,Patrol 5
Patrol 5,3/4/27,12:30,3/4/27,16:00,FALSE,Patrol 5
Patrol 6,11/10/26,12:30,11/10/26,16:00,FALSE,Patrol 6
Patrol 6,15/11/26,08:45,15/11/26,13:00,FALSE,Patrol 6
